track_id,track_name,artists,popularity
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,100
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,99
5ww2BF9slyYgNOk37BlC4u,La Bachata,Manuel Turizo,98
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta;Bebe Rexha,98
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,Bad Bunny,97
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny;Chencho Corleone,97
5IgjP7X4th6nMNDh4akUHb,Under The Influence,Chris Brown,96
5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,96
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,96
4LRPiXqCikLlN15c3yImP7,As It Was,Harry Styles,95
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,Bad Bunny;Bomba Estéreo,95
6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,94
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,94
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,93
7dSZ6zGTQx66c2GF91xCrb,PROVENZA,KAROL G,93
1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,Beyoncé,93
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,93
31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny,93
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,92
0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Rema;Selena Gomez,92
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,92
0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,92
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,92
79HZAZNnOE97rb2hnI0XQr,LOKERA,Rauw Alejandro;Lyanno;Brray,91
41oY4WCTj5kccfesTVFnvN,Tarot,Bad Bunny;Jhayco,91
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,91
3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,91
6i1g5ZRmJZAkDwBaUZ3f2i,Caile,Luar La L,91
7MXVkk9YMctZqd1Srtv4MB,Starboy,The Weeknd;Daft Punk,90
4zN21mbAuaD0WqtmaTZZeP,Ferrari,James Hype;Miggy Dela Rosa,90
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,90
1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,The Weeknd;Gesaffelstein,90
2rurDawMfoKP4uHyb2kJBt,Te Felicito,Shakira;Rauw Alejandro,90
4tYFy8ALRjIZvnvSLw5lxN,Party,Bad Bunny;Rauw Alejandro,90
1797zYiX4cKosMH836X9Gt,La Corriente,Bad Bunny;Tony Dize,90
1ga4PztXOIw1yBbdUt2X8v,GATÚBELA,KAROL G;Maldy,90
1Fid2jjqsHViMX6xNH70hE,Atlantis,Seafret,90
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,90
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,Elley Duhé,90
75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),Kate Bush,90
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,90
38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,90
7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,90
1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,89
3fjN3y5x4hN53rykAN2LHQ,cómo dormiste?,Rels B,89
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,89
27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,Armani White,89
5jt25aFjW2kNoBqaEVaz5W,LA INOCENTE,Mora;Feid,89
7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,89
72yP0DUlWPyH8P7IoxskwN,Hold Me Closer,Elton John;Britney Spears,89
4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,89
5QO79kh1waicV47BqGRL3g,Save Your Tears,The Weeknd,89
